("Descr_short","Desc_long","Price_offered","fk_status","fk_storage","fk_sales"),
("Hängematte","handgemacht"," 25.00 ","5","2","12"),
("Schlafsack-Spiderman","für Kinder"," 10.00 ","3","21",""),
("Picknickdecke","waschbar"," 5.00 ","5","2","7"),
("Stranddecke","praktisch"," 5.00 ","5","2","4"),
("1xEinkaufstrolleys","schwarz wie neu"," 25.00 ","5","2","4"),
("1xEinkaufstrolleys Rucksack","praktisch auch als Rucksack nutzbar"," 25.00 ","3","2",""),
("Bild","mit leichten Gebrauchsspuren"," 10.00 ","3","2",""),
("Garderobe","simpel und praktisch"," 25.00 ","3","2",""),
("Isolationsmatratze","Als Bettauflage oder zur Isolierung nutzbar"," 15.00 ","4","2",""),
("Küchenmaschine Vitalcenter 4in1 Endsaften / Hacken / Mahlen / Mixen neu",""," 40.00 ","3","3",""),
("Schuhe 1","schwarz wie neu"," 5.00 ","3","4",""),
("Schuhe 2","rot"," 5.00 ","3","4",""),
("Schuhe 3","beige"," 5.00 ","3","4",""),
("Schuhe 4","Pump"," 5.00 ","3","4",""),
("Schuhe 5",""," 5.00 ","3","4",""),
("Schuhe 6",""," 5.00 ","3","4",""),
("Schuhe 7",""," 5.00 ","3","4",""),
("Cross Schreibset silber","elegant nie benutzt"," 25.00 ","5","5","13"),
("Cross Schreibset schwarz","elegant"," 25.00 ","5","5","13"),
("Büromaterial",""," 10.00 ","3","5",""),
("Taschenrechner",""," 10.00 ","3","5",""),
("Verlängerungskabel 1",""," 3.00 ","3","6",""),
("Verlängerungskabel 2",""," 3.00 ","3","6",""),
("Verlängerungskabel Mehrfachstecker 1","mit "," 3.00 ","3","6",""),
("Verlängerungskabel Mehrfachstecker 2",""," 3.00 ","3","6",""),
("HDMI Kabel",""," 3.00 ","3","6",""),
("HDMI Mini Display port Kabel",""," 3.00 ","3","6",""),
("LAN Kabel 1",""," 2.00 ","3","6",""),
("LAN Kabel 2",""," 2.00 ","3","6",""),
("LAN Kabel 3",""," 2.00 ","3","6",""),
("LAN Kabel 4",""," 2.00 ","3","6",""),
("LAN Kabel 5",""," 2.00 ","3","6",""),
("Scart Kabel 1",""," 2.00 ","3","6",""),
("Scart Kabel 2",""," 2.00 ","3","6",""),
("Scart Kabel 3",""," 2.00 ","3","6",""),
("Scart Kabel 4",""," 2.00 ","3","6",""),
("Scart Kabel 5",""," 2.00 ","3","6",""),
("TV Kabel 1",""," 1.00 ","3","6",""),
("TV Kabel 2",""," 1.00 ","3","6",""),
("TV Kabel 3",""," 1.00 ","3","6",""),
("TV Kabel 4",""," 1.00 ","3","6",""),
("TV Kabel 5",""," 1.00 ","3","6",""),
("Telefon Kabel 1",""," 2.00 ","3","6",""),
("Telefon Kabel 2",""," 2.00 ","3","6",""),
("Laptop Ladekabel 1",""," 5.00 ","3","6",""),
("Laptop Ladekabel 2",""," 5.00 ","3","6",""),
("Router mit Kabeln",""," 5.00 ","3","6",""),
("DVD Player",""," 30.00 ","4","7",""),
("USB Key 1",""," 0.50 ","3","7",""),
("USB Key 2",""," 0.50 ","3","7",""),
("USB Key 3",""," 0.50 ","3","7",""),
("USB Key 4",""," 0.50 ","3","7",""),
("USB Key 5",""," 0.50 ","3","7",""),
("USB Key 6",""," 1.00 ","3","7",""),
("USB Key 7",""," 1.00 ","3","7",""),
("USB Key 8",""," 1.00 ","3","7",""),
("USB Key 9",""," 2.00 ","3","7",""),
("USB Key 10",""," 2.00 ","3","7",""),
("USB Key 11",""," 2.00 ","3","7",""),
("USB Key 12",""," 2.00 ","3","7",""),
("SD Karte 1",""," 0.50 ","3","7",""),
("SD Karte 2",""," 0.50 ","3","7",""),
("Handyhülle",""," 3.00 ","3","7",""),
("Kopfhörer 1",""," 2.00 ","3","7",""),
("Kopfhörer 2",""," 2.00 ","3","7",""),
("Kopfhörer 3",""," 2.00 ","3","7",""),
("Kopfhörer 4",""," 4.00 ","3","7",""),
("Kopfhörer 5",""," 4.00 ","3","7",""),
("Kopfhörer 6",""," 4.00 ","3","7",""),
("Wecker",""," 2.00 ","3","7",""),
("Kassettenadapter",""," 5.00 ","3","7",""),
("Mehrfach USB Stecker",""," 2.00 ","3","7",""),
("USB Lampe",""," 2.00 ","3","7",""),
("USB Staubsauger",""," 3.00 ","3","7",""),
("Micro USB Ladegerät",""," 2.00 ","3","7",""),
("Aufladegerät Duracell ",""," 5.00 ","3","7",""),
("Aufladegerät Varta ",""," 5.00 ","3","7",""),
("Maus HAMA",""," 5.00 ","3","7",""),
("Radiogerät",""," 5.00 ","3","7",""),
("CD's",""," 5.00 ","3","8",""),
("Kassetten",""," 5.00 ","3","8",""),
("DVDs",""," 5.00 ","3","8",""),
("Playboy Lampe",""," 10.00 ","3","9",""),
("IKEA Wandlampe",""," 5.00 ","3","9",""),
("Mann-Frau Kleiderhaken",""," 5.00 ","3","9",""),
("Handtuchhalter",""," 3.00 ","3","9",""),
("Fahrradhelm",""," 5.00 ","5","9","8"),
("Schlafsack-inlay",""," 5.00 ","5","10","7"),
("Unterwäsche",""," 5.00 ","3","10",""),
("Socken",""," 5.00 ","3","10",""),
("Spanische Flaggen",""," 10.00 ","5","10","2"),
("Bettbezug Grün blau",""," 10.00 ","3","11",""),
("Bettbezug lila grün",""," 10.00 ","5","11","4"),
("Münze",""," 45.00 ","3","11",""),
("Münzen",""," 15.00 ","5","11","3"),
("Kissen",""," 7.00 ","3","11",""),
("Tischläufer asiatisch",""," 15.00 ","5","11","5"),
("Personenwaage","rosa"," 10.00 ","3","11",""),
("Schweizer Glocke Schlüsselband",""," 3.00 ","3","11",""),
("Rote Tischsets",""," 12.00 ","3","11",""),
("Kaffeebox",""," 3.00 ","3","12",""),
("Kleines Einmachglas",""," 2.00 ","3","12",""),
("Kühltupperschale",""," 5.00 ","5","12","4"),
("Pfanne",""," 3.00 ","3","12",""),
("Bambusschale",""," 2.00 ","4","12",""),
("Holzschale",""," 2.00 ","3","12",""),
("Ananasdrinks",""," 5.00 ","3","12",""),
("Thermosflasche",""," 3.00 ","3","12",""),
("Trinkflasche 1",""," 3.00 ","3","12",""),
("Trinkflasche 2",""," 3.00 ","3","12",""),
("Trinkflasche 3",""," 3.00 ","3","12",""),
("Messerblock",""," 5.00 ","3","12",""),
("Asiatische Thermo",""," 3.00 ","3","12",""),
("Grillbesteck",""," 10.00 ","5","12","6"),
("Tellerhalter",""," 4.00 ","3","12",""),
